peakRSS_[KiB],runtime_[s],n_procs,n_threads,n_sites,n_taxa,n_alignments,omp_alg,full_command,datetime_of_run
262460,1037.268,1,1,6000,200000,48,IM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 1 --openmp-alg IM -redo,Wed Sep  3 21:16:18 UTC 2025
530552,728.070,2,1,6000,200000,48,IM,mpirun -np 2 --allow-run-as-root iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 1 --openmp-alg IM -redo,Wed Sep  3 21:33:38 UTC 2025
1063400,368.202,4,1,6000,200000,48,IM,mpirun -np 4 --allow-run-as-root iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 1 --openmp-alg IM -redo,Wed Sep  3 21:45:50 UTC 2025
2130072,212.496,8,1,6000,200000,48,IM,mpirun -np 8 --allow-run-as-root iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 1 --openmp-alg IM -redo,Wed Sep  3 21:52:01 UTC 2025
3199756,185.473,12,1,6000,200000,48,IM,mpirun -np 12 --allow-run-as-root iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 1 --openmp-alg IM -redo,Wed Sep  3 21:55:37 UTC 2025
4259804,153.124,16,1,6000,200000,48,IM,mpirun -np 16 --allow-run-as-root iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 1 --openmp-alg IM -redo,Wed Sep  3 21:58:46 UTC 2025
40540,1038.713,1,1,200000,6000,48,IM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 1 --openmp-alg IM -redo,Wed Sep  3 22:01:23 UTC 2025
92464,716.823,2,1,200000,6000,48,IM,mpirun -np 2 --allow-run-as-root iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 1 --openmp-alg IM -redo,Wed Sep  3 22:18:45 UTC 2025
189536,362.147,4,1,200000,6000,48,IM,mpirun -np 4 --allow-run-as-root iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 1 --openmp-alg IM -redo,Wed Sep  3 22:30:45 UTC 2025
376136,211.222,8,1,200000,6000,48,IM,mpirun -np 8 --allow-run-as-root iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 1 --openmp-alg IM -redo,Wed Sep  3 22:36:50 UTC 2025
560724,180.751,12,1,200000,6000,48,IM,mpirun -np 12 --allow-run-as-root iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 1 --openmp-alg IM -redo,Wed Sep  3 22:40:25 UTC 2025
759156,152.082,16,1,200000,6000,48,IM,mpirun -np 16 --allow-run-as-root iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 1 --openmp-alg IM -redo,Wed Sep  3 22:43:32 UTC 2025
263272,1042.283,1,1,6000,200000,48,IM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 1 --openmp-alg IM -redo,Wed Sep  3 22:46:10 UTC 2025
263396,991.933,1,2,6000,200000,48,IM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 2 --openmp-alg IM -redo,Wed Sep  3 23:03:36 UTC 2025
264332,334.957,1,4,6000,200000,48,IM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 4 --openmp-alg IM -redo,Wed Sep  3 23:20:11 UTC 2025
263608,184.792,1,8,6000,200000,48,IM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 8 --openmp-alg IM -redo,Wed Sep  3 23:25:50 UTC 2025
265212,353.356,1,12,6000,200000,48,IM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 12 --openmp-alg IM -redo,Wed Sep  3 23:28:59 UTC 2025
273512,489.543,1,16,6000,200000,48,IM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 200000 -nt 16 --openmp-alg IM -redo,Wed Sep  3 23:34:56 UTC 2025
40996,1043.195,1,1,200000,6000,48,IM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 1 --openmp-alg IM -redo,Wed Sep  3 23:43:09 UTC 2025
39820,1023.350,1,2,200000,6000,48,IM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 2 --openmp-alg IM -redo,Thu Sep  4 00:00:35 UTC 2025
43080,343.122,1,4,200000,6000,48,IM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 4 --openmp-alg IM -redo,Thu Sep  4 00:17:42 UTC 2025
