peakRSS_[KiB],runtime_[s],n_procs,n_threads,n_sites,n_taxa,n_alignments,omp_alg,full_command,datetime_of_run
42912,137.374,1,16,200000,6000,48,IM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 16 --openmp-alg IM -redo,Wed Sep  3 16:50:27 UTC 2025
94688,168.336,2,8,200000,6000,48,IM,mpirun -np 2 --allow-run-as-root --bind-to none iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 8 --openmp-alg IM -redo,Wed Sep  3 16:13:19 UTC 2025
170048,227.912,4,4,200000,6000,48,IM,mpirun -np 4 --allow-run-as-root iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 4 --openmp-alg IM -redo,Wed Sep  3 16:52:47 UTC 2025
365632,299.146,8,2,200000,6000,48,IM,mpirun -np 8 --allow-run-as-root iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 2 --openmp-alg IM -redo,Wed Sep  3 16:56:35 UTC 2025
691072,158.542,16,1,200000,6000,48,IM,mpirun -np 16 --allow-run-as-root iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 1 --openmp-alg IM -redo,Wed Sep  3 17:01:34 UTC 2025
37432,56.833,1,16,6000,20000,48,IM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 20000 -nt 16 --openmp-alg IM -redo,Wed Sep  3 17:04:13 UTC 2025
87088,23.674,2,8,6000,20000,48,IM,mpirun -np 2 --allow-run-as-root --bind-to none iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 20000 -nt 8 --openmp-alg IM -redo,Wed Sep  3 16:16:07 UTC 2025
172940,21.665,4,4,6000,20000,48,IM,mpirun -np 4 --allow-run-as-root iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 20000 -nt 4 --openmp-alg IM -redo,Wed Sep  3 17:05:10 UTC 2025
344416,33.672,8,2,6000,20000,48,IM,mpirun -np 8 --allow-run-as-root iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 20000 -nt 2 --openmp-alg IM -redo,Wed Sep  3 17:05:32 UTC 2025
690236,20.049,16,1,6000,20000,48,IM,mpirun -np 16 --allow-run-as-root iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 20000 -nt 1 --openmp-alg IM -redo,Wed Sep  3 17:06:05 UTC 2025
36556,251.514,1,16,200000,6000,48,EM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 16 --openmp-alg EM -redo,Wed Sep  3 17:06:26 UTC 2025
87432,303.345,2,8,200000,6000,48,EM,mpirun -np 2 --allow-run-as-root --bind-to none iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 8 --openmp-alg EM -redo,Wed Sep  3 16:16:31 UTC 2025
174136,231.425,4,4,200000,6000,48,EM,mpirun -np 4 --allow-run-as-root iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 4 --openmp-alg EM -redo,Wed Sep  3 17:10:38 UTC 2025
340052,227.512,8,2,200000,6000,48,EM,mpirun -np 8 --allow-run-as-root iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 2 --openmp-alg EM -redo,Wed Sep  3 17:14:29 UTC 2025
663764,155.411,16,1,200000,6000,48,EM,mpirun -np 16 --allow-run-as-root iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 200000 --num-alignments 48 -r 6000 -nt 1 --openmp-alg EM -redo,Wed Sep  3 17:18:17 UTC 2025
39156,30.776,1,16,6000,20000,48,EM,iqtree2 --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 20000 -nt 16 --openmp-alg EM -redo,Wed Sep  3 17:20:52 UTC 2025
87204,23.645,2,8,6000,20000,48,EM,mpirun -np 2 --allow-run-as-root --bind-to none iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 20000 -nt 8 --openmp-alg EM -redo,Wed Sep  3 16:21:35 UTC 2025
173040,20.591,4,4,6000,20000,48,EM,mpirun -np 4 --allow-run-as-root iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 20000 -nt 4 --openmp-alg EM -redo,Wed Sep  3 17:21:23 UTC 2025
347304,19.918,8,2,6000,20000,48,EM,mpirun -np 8 --allow-run-as-root iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 20000 -nt 2 --openmp-alg EM -redo,Wed Sep  3 17:21:44 UTC 2025
690216,18.968,16,1,6000,20000,48,EM,mpirun -np 16 --allow-run-as-root iqtree2-mpi --alisim output/alg -m GTR+I{0.2}+G4{0.5} --length 6000 --num-alignments 48 -r 20000 -nt 1 --openmp-alg EM -redo,Wed Sep  3 17:22:04 UTC 2025
