peakRSS,runtime,full_command,datetime_of_run
373880, 27.280s, mpirun -np 5 --allow-run-as-root iqtree2-mpi --alisim output/alg -t RANDOM{yh/500} -m JC --length 1000000 --num-alignments 10 -nt 2 --openmp-alg IM -redo, Mon Sep  1 13:13:55 UTC 2025
354684, 28.014s, mpirun -np 5 --allow-run-as-root iqtree2-mpi --alisim output/alg -t RANDOM{yh/500} -m JC --length 1000000 --num-alignments 10 -nt 2 --openmp-alg IM -redo, Mon Sep  1 13:14:22 UTC 2025
384064, 29.305s, mpirun -np 5 --allow-run-as-root iqtree2-mpi --alisim output/alg -t RANDOM{yh/500} -m JC --length 1000000 --num-alignments 10 -nt 2 --openmp-alg IM -redo, Mon Sep  1 13:14:50 UTC 2025
388732, 28.033s, mpirun -np 5 --allow-run-as-root iqtree2-mpi --alisim output/alg -t RANDOM{yh/500} -m JC --length 1000000 --num-alignments 10 -nt 2 --openmp-alg IM -redo, Mon Sep  1 13:15:19 UTC 2025
405356, 28.621s, mpirun -np 5 --allow-run-as-root iqtree2-mpi --alisim output/alg -t RANDOM{yh/500} -m JC --length 1000000 --num-alignments 10 -nt 2 --openmp-alg IM -redo, Mon Sep  1 13:15:48 UTC 2025
379040, 28.681s, mpirun -np 5 --allow-run-as-root iqtree2-mpi --alisim output/alg -t RANDOM{yh/500} -m JC --length 1000000 --num-alignments 10 -nt 2 --openmp-alg IM -redo, Mon Sep  1 13:16:16 UTC 2025
396628, 27.087s, mpirun -np 5 --allow-run-as-root iqtree2-mpi --alisim output/alg -t RANDOM{yh/500} -m JC --length 1000000 --num-alignments 10 -nt 2 --openmp-alg IM -redo, Mon Sep  1 13:16:45 UTC 2025
346880, 29.191s, mpirun -np 5 --allow-run-as-root iqtree2-mpi --alisim output/alg -t RANDOM{yh/500} -m JC --length 1000000 --num-alignments 10 -nt 2 --openmp-alg IM -redo, Mon Sep  1 13:17:12 UTC 2025
376000, 29.043s, mpirun -np 5 --allow-run-as-root iqtree2-mpi --alisim output/alg -t RANDOM{yh/500} -m JC --length 1000000 --num-alignments 10 -nt 2 --openmp-alg IM -redo, Mon Sep  1 13:17:42 UTC 2025
344824, 27.657s, mpirun -np 5 --allow-run-as-root iqtree2-mpi --alisim output/alg -t RANDOM{yh/500} -m JC --length 1000000 --num-alignments 10 -nt 2 --openmp-alg IM -redo, Mon Sep  1 13:18:11 UTC 2025
369164, 27.485s, mpirun -np 5 --allow-run-as-root iqtree2-mpi --alisim output/alg -t RANDOM{yh/500} -m GTR --length 1000000 --num-alignments 10 -nt 2 --openmp-alg IM -redo, Mon Sep  1 13:18:38 UTC 2025
406096, 29.312s, mpirun -np 5 --allow-run-as-root iqtree2-mpi --alisim output/alg -t RANDOM{yh/500} -m GTR --length 1000000 --num-alignments 10 -nt 2 --openmp-alg IM -redo, Mon Sep  1 13:19:06 UTC 2025
379400, 29.341s, mpirun -np 5 --allow-run-as-root iqtree2-mpi --alisim output/alg -t RANDOM{yh/500} -m GTR --length 1000000 --num-alignments 10 -nt 2 --openmp-alg IM -redo, Mon Sep  1 13:19:35 UTC 2025
354488, 26.339s, mpirun -np 5 --allow-run-as-root iqtree2-mpi --alisim output/alg -t RANDOM{yh/500} -m GTR --length 1000000 --num-alignments 10 -nt 2 --openmp-alg IM -redo, Mon Sep  1 13:20:05 UTC 2025
395028, 28.259s, mpirun -np 5 --allow-run-as-root iqtree2-mpi --alisim output/alg -t RANDOM{yh/500} -m GTR --length 1000000 --num-alignments 10 -nt 2 --openmp-alg IM -redo, Mon Sep  1 13:20:31 UTC 2025
315616, 28.438s, mpirun -np 5 --allow-run-as-root iqtree2-mpi --alisim output/alg -t RANDOM{yh/500} -m GTR --length 1000000 --num-alignments 10 -nt 2 --openmp-alg IM -redo, Mon Sep  1 13:20:59 UTC 2025
376504, 27.942s, mpirun -np 5 --allow-run-as-root iqtree2-mpi --alisim output/alg -t RANDOM{yh/500} -m GTR --length 1000000 --num-alignments 10 -nt 2 --openmp-alg IM -redo, Mon Sep  1 13:21:28 UTC 2025
369188, 27.070s, mpirun -np 5 --allow-run-as-root iqtree2-mpi --alisim output/alg -t RANDOM{yh/500} -m GTR --length 1000000 --num-alignments 10 -nt 2 --openmp-alg IM -redo, Mon Sep  1 13:21:56 UTC 2025
369816, 27.418s, mpirun -np 5 --allow-run-as-root iqtree2-mpi --alisim output/alg -t RANDOM{yh/500} -m GTR --length 1000000 --num-alignments 10 -nt 2 --openmp-alg IM -redo, Mon Sep  1 13:22:23 UTC 2025
348884, 28.460s, mpirun -np 5 --allow-run-as-root iqtree2-mpi --alisim output/alg -t RANDOM{yh/500} -m GTR --length 1000000 --num-alignments 10 -nt 2 --openmp-alg IM -redo, Mon Sep  1 13:22:51 UTC 2025
