peakRSS_[KiB],runtime_[s],n_procs,n_threads,n_sites,n_taxa,n_alignments,omp_alg,full_command,datetime_of_run
41256,1038.156,1,1,200000,6000,48,IM,manual,Wed Sep  3 13:02:25 UTC 2025
79532,563.883,2,1,200000,6000,48,IM,manual,Wed Sep  3 13:19:43 UTC 2025
160500,282.688,4,1,200000,6000,48,IM,manual,Wed Sep  3 13:29:08 UTC 2025
314840,165.264,8,1,200000,6000,48,IM,manual,Wed Sep  3 13:33:50 UTC 2025
467324,144.231,12,1,200000,6000,48,IM,manual,Wed Sep  3 13:36:36 UTC 2025
648188,130.928,16,1,200000,6000,48,IM,manual,Wed Sep  3 13:39:00 UTC 2025
40068,109.376,1,1,6000,20000,48,IM,manual,Wed Sep  3 13:41:11 UTC 2025
80160,56.472,2,1,6000,20000,48,IM,manual,Wed Sep  3 13:43:01 UTC 2025
160388,29.223,4,1,6000,20000,48,IM,manual,Wed Sep  3 13:43:57 UTC 2025
320428,18.564,8,1,6000,20000,48,IM,manual,Wed Sep  3 13:44:27 UTC 2025
481368,16.185,12,1,6000,20000,48,IM,manual,Wed Sep  3 13:44:45 UTC 2025
640900,16.127,16,1,6000,20000,48,IM,manual,Wed Sep  3 13:45:02 UTC 2025
