peakRSS_[KiB],runtime_[s],n_procs,n_threads,n_sites,n_taxa,n_alignments,omp_alg,full_command,datetime_of_run
34808,1040.091,1,1,200000,6000,48,IM,manual,Wed Sep  3 19:07:46 UTC 2025
72776,519.648,2,1,200000,6000,48,IM,manual,Wed Sep  3 19:25:09 UTC 2025
143928,264.726,4,1,200000,6000,48,IM,manual,Wed Sep  3 19:33:52 UTC 2025
293468,161.000,8,1,200000,6000,48,IM,manual,Wed Sep  3 19:38:20 UTC 2025
462672,144.172,12,1,200000,6000,48,IM,manual,Wed Sep  3 19:41:05 UTC 2025
654240,124.538,16,1,200000,6000,48,IM,manual,Wed Sep  3 19:43:33 UTC 2025
262400,1035.166,1,1,6000,200000,48,IM,manual,Wed Sep  3 20:19:23 UTC 2025
526252,515.823,2,1,6000,200000,48,IM,manual,Wed Sep  3 20:36:42 UTC 2025
1053804,263.915,4,1,6000,200000,48,IM,manual,Wed Sep  3 20:45:23 UTC 2025
2108124,156.370,8,1,6000,200000,48,IM,manual,Wed Sep  3 20:49:51 UTC 2025
3158484,144.665,12,1,6000,200000,48,IM,manual,Wed Sep  3 20:52:32 UTC 2025
4212756,124.240,16,1,6000,200000,48,IM,manual,Wed Sep  3 20:55:01 UTC 2025
